ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0002181,cytoplasmic translation,90,0.599884678,2.775086761,1.00E-10,2.52E-07,2.33E-07,231,"tags=39%, list=8%, signal=37%",RPS13/RPL30/RPL26/RPL41/RPL17/RPL36A/RPS26/RPS28/RPL24/RPL39/RPS25/RPS10/RPL37/RPL9/RPS17/RPS27/RPS14/RPL32/RPL22/RPL21/RPS21/RPL6/RPS27A/RPS15A/RPS29/RPS15/ZNF385A/EIF4A1/RPL12/FAU/RPL18/RPL8/RPS16/RPL34/RPL4
GO:0015986,proton motive force-driven ATP synthesis,32,0.685838658,2.605027399,2.39E-07,8.61E-05,7.93E-05,297,"tags=50%, list=11%, signal=45%",ATP6V0C/ATP5ME/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009201,ribonucleoside triphosphate biosynthetic process,42,0.64364137,2.577180778,1.01E-07,5.08E-05,4.68E-05,297,"tags=43%, list=11%, signal=39%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,42,0.64364137,2.577180778,1.01E-07,5.08E-05,4.68E-05,297,"tags=43%, list=11%, signal=39%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009145,purine nucleoside triphosphate biosynthetic process,43,0.636726651,2.566281852,7.95E-08,5.08E-05,4.68E-05,297,"tags=42%, list=11%, signal=38%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009142,nucleoside triphosphate biosynthetic process,44,0.631038073,2.562634978,2.20E-07,8.61E-05,7.93E-05,297,"tags=41%, list=11%, signal=37%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009152,purine ribonucleotide biosynthetic process,46,0.613437723,2.524640948,3.24E-07,0.00010224,9.42E-05,297,"tags=39%, list=11%, signal=36%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0006754,ATP biosynthetic process,41,0.626080598,2.497162828,6.94E-07,0.000169126,0.00015588,297,"tags=41%, list=11%, signal=38%",ALDOA/ATP6V0C/ATP5ME/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0009260,ribonucleotide biosynthetic process,49,0.594384971,2.467673511,7.37E-07,0.000169126,0.00015588,297,"tags=37%, list=11%, signal=33%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0046390,ribose phosphate biosynthetic process,49,0.594384971,2.467673511,7.37E-07,0.000169126,0.00015588,297,"tags=37%, list=11%, signal=33%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,28,0.671466101,2.432992679,1.11E-05,0.001478638,0.001362829,297,"tags=50%, list=11%, signal=45%",ATP5ME/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0006119,oxidative phosphorylation,47,0.579106874,2.380498425,3.44E-06,0.000620703,0.000572088,315,"tags=38%, list=11%, signal=35%",ATP5ME/UQCR11/ATP5F1E/NDUFA11/NDUFB1/NDUFA4/NDUFA13/NDUFB8/NDUFA3/CHCHD2/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/UQCRQ
GO:0006164,purine nucleotide biosynthetic process,51,0.567831579,2.37719831,2.36E-06,0.000458147,0.000422264,536,"tags=47%, list=19%, signal=39%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/NAPRT/NDUFC2/PID1/KYNU/ATP5MG/ANTKMT
GO:0072522,purine-containing compound biosynthetic process,57,0.541779919,2.308887965,7.93E-06,0.001177362,0.001085149,536,"tags=44%, list=19%, signal=36%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/NAPRT/NDUFC2/PID1/KYNU/ATP5MG/TPK1/ANTKMT
GO:0009165,nucleotide biosynthetic process,55,0.542078136,2.306343568,7.39E-06,0.001177362,0.001085149,297,"tags=33%, list=11%, signal=30%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12
GO:0042274,ribosomal small subunit biogenesis,32,0.606744726,2.304604177,4.36E-05,0.004072612,0.003753637,290,"tags=44%, list=10%, signal=40%",RPS13/RPS28/RPS25/RPS17/RPS27/RPS14/RPS21/RPS27A/RPS15A/RPS15/FAU/RPS16/RPS19BP1/TRMT112
GO:1901293,nucleoside phosphate biosynthetic process,62,0.524627371,2.267462724,7.81E-06,0.001177362,0.001085149,536,"tags=42%, list=19%, signal=35%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/GMDS/NAPRT/NDUFC2/PID1/KYNU/ATP5MG/TPK1/ANTKMT
GO:0009060,aerobic respiration,55,0.532372942,2.265051529,1.53E-05,0.001750997,0.001613856,315,"tags=35%, list=11%, signal=31%",ATP5ME/UQCR11/ATP5F1E/NDUFA11/NDUFB1/NDUFA4/NDUFA13/NDUFB8/NDUFA3/CHCHD2/NDUFC1/NDUFA7/ATP5PD/NDUFA2/NDUFA1/BLOC1S1/ATP5MF/NDUFA12/UQCRQ
