ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0051607,defense response to virus,46,-0.777576612,-2.976016147,1.00E-10,3.03E-08,2.82E-08,103,"tags=67%, list=14%, signal=62%",ZNFX1/HSP90AA1/ADAR/IFITM2/ZC3HAV1/ZBP1/USP18/APOBEC3A/TNFAIP3/OASL/EIF2AK2/TRIM22/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/GBP5/GBP1/IFIT2/IFIT3/RSAD2/MX1/IFI6/IFIT1/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0009615,response to virus,63,-0.712943182,-2.846008163,1.00E-10,3.03E-08,2.82E-08,103,"tags=56%, list=14%, signal=52%",ZNFX1/NMI/HSP90AA1/ADAR/IFITM2/ZC3HAV1/CALR/ZBP1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/EIF2AK2/TRIM22/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/GBP5/GBP1/IFIT2/IFIT3/RSAD2/MX1/IFI6/IFIT1/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0006955,immune response,196,-0.538233512,-2.46787066,1.00E-10,3.03E-08,2.82E-08,115,"tags=34%, list=15%, signal=39%",YWHAZ/ERAP2/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/CBLB/DOCK10/ADAR/IFITM2/ZC3HAV1/B2M/ZBP1/THBS1/USP18/APOBEC3A/SAMSN1/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/CD7/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/IL1R2/CXCL10/IFI44L/STAT1/LTB/GBP5/GBP1/CD3E/IFIT2/IFIT3/NKG7/IGHV3-11/RSAD2/MX1/IFI6/IL32/IFIT1/JCHAIN/IGKV1-9/GNLY/IL7R/IFI27/DEFA3/ISG15/IGLV10-54/IGHV3-23/ISG20/IGHV7-4-1/IGLV1-44/IGLV2-18/IGKV5-2/IGKV3-15/IFITM1/IGKC/IGHV1-18/IGKV1-5
GO:0002376,immune system process,243,-0.492468909,-2.266824467,1.00E-10,3.03E-08,2.82E-08,115,"tags=30%, list=15%, signal=38%",YWHAZ/ERAP2/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/CBLB/DOCK10/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/CALR/RIPOR2/ZBP1/THBS1/USP18/APOBEC3A/SAMSN1/TNFAIP3/OASL/CCL5/CXCR4/CCND3/HSPA8/CD7/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/IL1R2/CXCL10/IFI44L/STAT1/LTB/GBP5/GBP1/CD3E/IFIT2/IFIT3/NKG7/IGHV3-11/RSAD2/MX1/IFI6/IL32/IFIT1/ZBTB16/JCHAIN/IGKV1-9/GNLY/IL7R/IFI27/DEFA3/ISG15/IGLV10-54/IGHV3-23/ISG20/IGHV7-4-1/IGLV1-44/IGLV2-18/IGKV5-2/IGKV3-15/IFITM1/IGKC/IGHV1-18/IGKV1-5
GO:0019079,viral genome replication,27,-0.769185456,-2.648741387,2.49E-09,4.30E-07,4.00E-07,103,"tags=70%, list=14%, signal=63%",ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/APOBEC3A/OASL/CCL5/HSPA8/EIF2AK2/IFITM3/BCL2/RSAD2/MX1/IFIT1/IFI27/ISG15/ISG20/IFITM1
GO:0045069,regulation of viral genome replication,22,-0.80444894,-2.610962875,2.25E-09,4.30E-07,4.00E-07,103,"tags=77%, list=14%, signal=69%",ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/APOBEC3A/OASL/CCL5/EIF2AK2/IFITM3/BCL2/RSAD2/MX1/IFIT1/ISG15/ISG20/IFITM1
GO:0045071,negative regulation of viral genome replication,18,-0.832683369,-2.573650557,1.83E-09,4.30E-07,4.00E-07,103,"tags=83%, list=14%, signal=74%",ZNFX1/RESF1/IFITM2/ZC3HAV1/APOBEC3A/OASL/CCL5/EIF2AK2/IFITM3/RSAD2/MX1/IFIT1/ISG15/ISG20/IFITM1
GO:0098542,defense response to other organism,127,-0.517315727,-2.282190064,1.03E-08,1.56E-06,1.45E-06,115,"tags=36%, list=15%, signal=37%",YWHAZ/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/ZBP1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,13,0.809360547,2.957465123,1.69E-08,2.05E-06,1.91E-06,82,"tags=85%, list=11%, signal=77%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,13,0.809360547,2.957465123,1.69E-08,2.05E-06,1.91E-06,82,"tags=85%, list=11%, signal=77%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
