ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0045071,negative regulation of viral genome replication,31,0.789887671,2.880393723,1.00E-10,4.65E-08,4.19E-08,327,"tags=71%, list=14%, signal=62%",IFITM1/IFITM3/ISG15/MX1/ISG20/IFIT1/RSAD2/APOBEC3A/CCL5/IFITM2/OAS3/RESF1/OAS1/OASL/EIF2AK2/PLSCR1/SHFL/OAS2/BST2/TASOR/IFIH1/ZNFX1
GO:0048525,negative regulation of viral process,43,0.725421609,2.821023245,1.00E-10,4.65E-08,4.19E-08,327,"tags=63%, list=14%, signal=55%",IFITM1/IFITM3/ISG15/MX1/LY6E/ISG20/IFIT1/RSAD2/IL32/APOBEC3A/CCL5/STAT1/IFITM2/OAS3/RESF1/OAS1/OASL/EIF2AK2/PLSCR1/SHFL/OAS2/BST2/TASOR/SP100/IFIH1/CSNK2B/ZNFX1
GO:0051607,defense response to virus,85,0.631384633,2.787568533,1.00E-10,4.65E-08,4.19E-08,345,"tags=51%, list=15%, signal=45%",IFITM1/IFI27/IFITM3/ISG15/MX1/IFI44L/ISG20/IRF7/IFIT1/IFIT3/IFI6/RSAD2/DEFA3/APOBEC3A/MX2/HERC5/GBP1/STAT1/IFITM2/IFIT2/OAS3/GBP5/DDX60L/OAS1/OASL/CXCL10/NT5C3A/TRIM22/EIF2AK2/PLSCR1/BCL2/SHFL/DDX60/ATG7/OAS2/USP18/PARP9/BST2/STAT2/IFIH1/ZNFX1/ZBP1/PML
GO:0009615,response to virus,116,0.579151834,2.681225023,1.00E-10,4.65E-08,4.19E-08,447,"tags=51%, list=19%, signal=43%",IFITM1/IFI27/IFITM3/ISG15/MX1/EEF1G/IFI44L/ISG20/IRF7/IFIT1/IFIT3/IFI6/RSAD2/DEFA3/APOBEC3A/MX2/HERC5/IFI44/CCL5/GBP1/STAT1/IFITM2/RPS15A/IFIT2/OAS3/GBP5/DDX60L/OAS1/OASL/EXT1/CXCL10/NT5C3A/TRIM22/EIF2AK2/PLSCR1/BCL2/SHFL/DDX60/ATG7/OAS2/PSMA2/TPT1/USP18/PARP9/BST2/STAT2/IFIH1/JAK2/AUP1/ZNFX1/ZBP1/PML/LGALS9/IRF9/PHB2/IL10RB/NT5C2/DTX3L/SEC11A
GO:0034340,response to type I interferon,29,0.752060306,2.64410085,2.48E-09,7.20E-07,6.48E-07,330,"tags=66%, list=14%, signal=57%",IFITM1/IFI27/IFITM3/ISG15/MX1/IRF7/IFIT1/STAT1/IFITM2/OAS3/OAS1/OASL/SHFL/OAS2/USP18/STAT2/SP100/IFIH1/ZBP1
GO:0071357,cellular response to type I interferon,27,0.739666842,2.57724124,2.85E-08,4.15E-06,3.73E-06,380,"tags=67%, list=16%, signal=57%",IFITM1/IFI27/IFITM3/ISG15/IRF7/IFIT1/STAT1/IFITM2/OAS3/OAS1/OASL/OAS2/USP18/STAT2/SP100/IFIH1/ZBP1/RBM47
GO:0045069,regulation of viral genome replication,38,0.671665475,2.571604545,2.31E-08,3.74E-06,3.37E-06,327,"tags=61%, list=14%, signal=53%",IFITM1/IFITM3/ISG15/MX1/ISG20/IFIT1/RSAD2/APOBEC3A/CCL5/IFITM2/OAS3/RESF1/OAS1/OASL/EIF2AK2/PLSCR1/BCL2/SHFL/OAS2/BST2/TASOR/IFIH1/ZNFX1
GO:0140888,interferon-mediated signaling pathway,33,0.691442708,2.554343786,6.90E-08,8.98E-06,8.08E-06,330,"tags=55%, list=14%, signal=48%",IFITM1/IFI27/IFITM3/ISG15/IRF7/STAT1/IFITM2/OAS3/OAS1/OASL/OAS2/USP18/PARP9/STAT2/SP100/IFIH1/JAK2/ZBP1
GO:0019079,viral genome replication,52,0.6292186,2.552188453,2.13E-08,3.74E-06,3.37E-06,288,"tags=48%, list=12%, signal=43%",IFITM1/IFI27/IFITM3/ISG15/MX1/ISG20/IFIT1/RSAD2/APOBEC3A/CCL5/HSPA8/IFITM2/OAS3/EEF1A1/RESF1/OAS1/OASL/EIF2AK2/PLSCR1/BCL2/SHFL/OAS2/BST2/TASOR/IFIH1
GO:0060337,type I interferon-mediated signaling pathway,26,0.73283241,2.541272101,1.00E-07,1.17E-05,1.05E-05,380,"tags=65%, list=16%, signal=56%",IFITM1/IFI27/IFITM3/ISG15/IRF7/STAT1/IFITM2/OAS3/OAS1/OASL/OAS2/USP18/STAT2/SP100/IFIH1/ZBP1/RBM47
GO:1903900,regulation of viral life cycle,55,0.601248078,2.470750074,9.10E-08,1.11E-05,1.00E-05,327,"tags=49%, list=14%, signal=43%",IFITM1/IFITM3/ISG15/MX1/LY6E/ISG20/IFIT1/RSAD2/IL32/APOBEC3A/CCL5/IFITM2/OAS3/RESF1/OAS1/OASL/TRIM22/EIF2AK2/PLSCR1/BCL2/SHFL/OAS2/BST2/TASOR/IFIH1/CSNK2B/ZNFX1
GO:0050792,regulation of viral process,64,0.574990985,2.401882071,1.09E-07,1.21E-05,1.09E-05,327,"tags=45%, list=14%, signal=40%",IFITM1/IFITM3/ISG15/MX1/LY6E/ISG20/IFIT1/RSAD2/IL32/APOBEC3A/CCL5/STAT1/IFITM2/OAS3/RESF1/OAS1/OASL/TRIM22/EIF2AK2/PLSCR1/BCL2/SHFL/OAS2/BST2/TASOR/SP100/IFIH1/CSNK2B/ZNFX1
GO:0140374,antiviral innate immune response,19,0.735563083,2.367508359,4.17E-06,0.000346454,0.000311985,411,"tags=74%, list=17%, signal=61%",MX1/IFIT1/IFIT3/IFIT2/OAS3/OAS1/OASL/CXCL10/EIF2AK2/OAS2/USP18/IFIH1/ZBP1/PHB2
